"selectedPart","alignmentCategory","anchorCategory","anchorDistance","alignmentDistance","round5Distance","alignmentType","alignmentPosition","chartType","UID","selectedLabel"
50,"aligned","anchor",0,0,0,"50 and 100",50,"line",1,"B"
50,"aligned","anchor",0,0,0,"50 and 100",50,"line",1,"E"
50,"near-aligned","anchor",0,3,0,"0 and 50",3,"line",1,"A"
25,"near-aligned","anchor",0,3,0,"75 and 100",72,"line",1,"E"
25,"far-from-aligned","anchor",0,7,0,"0 and 25",7,"line",1,"E"
50,"far-from-aligned","anchor",0,11,0,"25 and 75",14,"line",1,"G"
25,"aligned","anchor",0,0,0,"25 and 50",25,"pie",1,"F"
50,"aligned","anchor",0,0,0,"25 and 75",25,"pie",1,"F"
25,"near-aligned","anchor",0,2,0,"50 and 75",48,"pie",1,"A"
25,"near-aligned","anchor",0,4,0,"25 and 50",21,"pie",1,"D"
50,"far-from-aligned","anchor",0,9,0,"50 and 100",41,"pie",1,"F"
25,"far-from-aligned","anchor",0,7,0,"25 and 50",18,"pie",1,"D"
24,"aligned","near-anchor",1,0,1,"0",0,"line",1,"B"
48,"aligned","near-anchor",2,0,2,"0",0,"line",1,"E"
46,"aligned","near-anchor",4,0,1,"0",0,"line",1,"G"
22,"aligned","near-anchor",3,0,2,"0",0,"line",1,"G"
48,"aligned","near-anchor",2,0,2,"75",27,"line",1,"B"
21,"near-aligned","near-anchor",4,3,1,"75",72,"line",1,"D"
21,"near-aligned","near-anchor",4,4,1,"25",21,"line",1,"G"
27,"near-aligned","near-anchor",2,4,2,"50",19,"line",1,"B"
48,"near-aligned","near-anchor",2,3,2,"25",22,"line",1,"A"
46,"near-aligned","near-anchor",4,1,1,"50",3,"line",1,"A"
23,"near-aligned","near-anchor",2,3,2,"75",55,"line",1,"C"
23,"far-from-aligned","near-anchor",2,10,2,"25",12,"line",1,"B"
22,"far-from-aligned","near-anchor",3,11,2,"25 and 25",14,"line",1,"F"
47,"far-from-aligned","near-anchor",3,7,2,"25",18,"line",1,"G"
47,"far-from-aligned","near-anchor",3,6,2,"50",44,"line",1,"G"
46,"far-from-aligned","near-anchor",4,9,1,"25",16,"line",1,"D"
24,"far-from-aligned","near-anchor",1,9,1,"50",41,"line",1,"G"
21,"far-from-aligned","near-anchor",4,9,1,"75",66,"line",1,"B"
21,"aligned","near-anchor",4,0,1,"75",75,"pie",1,"A"
22,"aligned","near-anchor",3,0,2,"0",0,"pie",1,"F"
27,"aligned","near-anchor",2,0,2,"25",25,"pie",1,"E"
48,"aligned","near-anchor",2,0,2,"100",52,"pie",1,"C"
23,"aligned","near-anchor",2,0,2,"75",75,"pie",1,"C"
27,"near-aligned","near-anchor",2,3,2,"0",3,"pie",1,"B"
46,"near-aligned","near-anchor",4,4,1,"50",46,"pie",1,"E"
28,"near-aligned","near-anchor",3,1,2,"50",21,"pie",1,"E"
46,"near-aligned","near-anchor",4,2,1,"25",23,"pie",1,"D"
23,"near-aligned","near-anchor",2,3,2,"50",30,"pie",1,"A"
23,"near-aligned","near-anchor",2,3,2,"50",47,"pie",1,"C"
23,"far-from-aligned","near-anchor",2,5,2,"25",7,"pie",1,"B"
22,"far-from-aligned","near-anchor",3,5,2,"75",58,"pie",1,"C"
24,"far-from-aligned","near-anchor",1,11,1,"50",39,"pie",1,"A"
27,"far-from-aligned","near-anchor",2,7,2,"0",7,"pie",1,"C"
47,"far-from-aligned","near-anchor",3,9,2,"50",12,"pie",1,"E"
46,"far-from-aligned","near-anchor",4,6,1,"50",44,"pie",1,"B"
24,"far-from-aligned","near-anchor",1,10,1,"75",61,"pie",1,"C"
19,"aligned","far-anchor",6,0,1,"75",56,"line",1,"F"
17,"aligned","far-anchor",8,0,2,"50",50,"line",1,"G"
20,"aligned","far-anchor",5,0,0,"0",0,"line",1,"A"
36,"aligned","far-anchor",11,0,1,"100",64,"line",1,"G"
31,"aligned","far-anchor",6,0,1,"100",69,"line",1,"D"
16,"aligned","far-anchor",9,0,1,"100",84,"line",1,"C"
18,"near-aligned","far-anchor",7,2,2,"50",48,"line",1,"B"
53,"near-aligned","far-anchor",3,3,2,"0",3,"line",1,"C"
40,"near-aligned","far-anchor",10,1,0,"100",59,"line",1,"G"
52,"near-aligned","far-anchor",2,3,2,"25",28,"line",1,"E"
16,"near-aligned","far-anchor",9,2,1,"25",7,"line",1,"C"
19,"near-aligned","far-anchor",6,2,1,"100",79,"line",1,"E"
30,"near-aligned","far-anchor",5,4,0,"100",66,"line",1,"D"
37,"near-aligned","far-anchor",12,3,2,"75",35,"line",1,"C"
16,"near-aligned","far-anchor",9,2,1,"0",2,"line",1,"F"
52,"far-from-aligned","far-anchor",2,5,2,"25",30,"line",1,"D"
15,"far-from-aligned","far-anchor",10,6,0,"50",44,"line",1,"F"
18,"far-from-aligned","far-anchor",7,6,2,"25",13,"line",1,"D"
42,"far-from-aligned","far-anchor",8,7,2,"50",43,"line",1,"G"
35,"far-from-aligned","far-anchor",10,6,0,"50",56,"line",1,"E"
34,"far-from-aligned","far-anchor",9,5,1,"50",11,"line",1,"E"
18,"far-from-aligned","far-anchor",7,8,2,"75",65,"line",1,"G"
53,"far-from-aligned","far-anchor",3,10,2,"75",12,"line",1,"B"
34,"far-from-aligned","far-anchor",9,6,1,"100",60,"line",1,"D"
40,"aligned","far-anchor",10,0,0,"75",35,"pie",1,"A"
18,"aligned","far-anchor",7,0,2,"75",57,"pie",1,"G"
45,"aligned","far-anchor",5,0,0,"50",5,"pie",1,"B"
54,"aligned","far-anchor",4,0,1,"25",25,"pie",1,"F"
42,"aligned","far-anchor",8,0,2,"0",0,"pie",1,"B"
40,"aligned","far-anchor",10,0,0,"50",10,"pie",1,"C"
19,"near-aligned","far-anchor",6,3,1,"75 and 100",78,"pie",1,"D"
16,"near-aligned","far-anchor",9,1,1,"100",83,"pie",1,"B"
42,"near-aligned","far-anchor",8,3,2,"0",3,"pie",1,"C"
41,"near-aligned","far-anchor",9,4,1,"100",55,"pie",1,"B"
41,"near-aligned","far-anchor",9,1,1,"100",58,"pie",1,"E"
17,"near-aligned","far-anchor",8,3,2,"0",3,"pie",1,"E"
17,"near-aligned","far-anchor",8,1,2,"50",49,"pie",1,"E"
20,"near-aligned","far-anchor",5,3,0,"25",8,"pie",1,"D"
55,"near-aligned","far-anchor",5,4,0,"25",29,"pie",1,"B"
17,"far-from-aligned","far-anchor",8,5,2,"25",20,"pie",1,"G"
18,"far-from-aligned","far-anchor",7,7,2,"25",18,"pie",1,"C"
30,"far-from-aligned","far-anchor",5,6,0,"75",39,"pie",1,"G"
39,"far-from-aligned","far-anchor",11,6,1,"75",42,"pie",1,"D"
32,"far-from-aligned","far-anchor",7,7,2,"75",36,"pie",1,"B"
37,"far-from-aligned","far-anchor",12,6,2,"50",7,"pie",1,"B"
20,"far-from-aligned","far-anchor",5,7,0,"25",12,"pie",1,"E"
31,"far-from-aligned","far-anchor",6,6,1,"50",56,"pie",1,"D"
35,"far-from-aligned","far-anchor",10,7,0,"100",58,"pie",1,"F"
25,"aligned","anchor",0,0,0,"50 and 75",50,"line",2,"G"
50,"aligned","anchor",0,0,0,"25 and 75",25,"line",2,"E"
50,"near-aligned","anchor",0,3,0,"0 and 50",3,"line",2,"B"
25,"near-aligned","anchor",0,2,0,"75 and 100",73,"line",2,"C"
25,"far-from-aligned","anchor",0,5,0,"50 and 75",45,"line",2,"A"
50,"far-from-aligned","anchor",0,12,0,"50 and 100",38,"line",2,"G"
50,"aligned","anchor",0,0,0,"50 and 100",50,"pie",2,"C"
25,"aligned","anchor",0,0,0,"50 and 75",50,"pie",2,"C"
25,"near-aligned","anchor",0,2,0,"25 and 50",23,"pie",2,"E"
25,"near-aligned","anchor",0,2,0,"75 and 100",73,"pie",2,"A"
25,"far-from-aligned","anchor",0,6,0,"50 and 75",44,"pie",2,"G"
25,"far-from-aligned","anchor",0,11,0,"75 and 100",64,"pie",2,"F"
24,"aligned","near-anchor",1,0,1,"100",76,"line",2,"C"
21,"aligned","near-anchor",4,0,1,"75",75,"line",2,"A"
24,"aligned","near-anchor",1,0,1,"25",25,"line",2,"E"
27,"aligned","near-anchor",2,0,2,"75",48,"line",2,"D"
21,"aligned","near-anchor",4,0,1,"50",50,"line",2,"D"
49,"near-aligned","near-anchor",1,3,1,"25",22,"line",2,"A"
49,"near-aligned","near-anchor",1,3,1,"50",47,"line",2,"E"
49,"near-aligned","near-anchor",1,3,1,"75",29,"line",2,"A"
22,"near-aligned","near-anchor",3,1,2,"75",74,"line",2,"C"
47,"near-aligned","near-anchor",3,1,2,"25",24,"line",2,"C"
48,"near-aligned","near-anchor",2,4,2,"50",6,"line",2,"D"
46,"far-from-aligned","near-anchor",4,7,1,"75",36,"line",2,"D"
22,"far-from-aligned","near-anchor",3,7,2,"25",10,"line",2,"C"
29,"far-from-aligned","near-anchor",4,7,1,"75",39,"line",2,"C"
24,"far-from-aligned","near-anchor",1,9,1,"50",35,"line",2,"B"
27,"far-from-aligned","near-anchor",2,9,2,"25",34,"line",2,"C"
22,"far-from-aligned","near-anchor",3,6,2,"25",19,"line",2,"G"
23,"far-from-aligned","near-anchor",2,6,2,"25",8,"line",2,"E"
29,"aligned","near-anchor",4,0,1,"100",71,"pie",2,"A"
27,"aligned","near-anchor",2,0,2,"0",0,"pie",2,"F"
47,"aligned","near-anchor",3,0,2,"100",53,"pie",2,"E"
