"selectedPart","alignmentCategory","anchorCategory","anchorDistance","alignmentDistance","round5Distance","alignmentType","alignmentPosition","chartType","UID","selectedLabel","A","B","C","D","E","F","G","A_ind","B_ind","C_ind","D_ind","E_ind","F_ind","G_ind"
40,"aligned","far-anchor",10,0,0,"75",35,"pie",1,"G",23,5,5,2,9,16,40,5,1,2,6,3,0,4
22,"aligned","near-anchor",3,0,2,"0",0,"line",1,"F",14,7,14,13,19,22,11,6,5,3,4,1,0,2
22,"aligned","near-anchor",3,0,2,"0",0,"pie",1,"C",2,23,22,15,15,9,14,4,1,0,5,2,6,3
50,"aligned","anchor",0,0,0,"50 and 100",50,"line",1,"B",7,50,3,5,19,7,9,3,6,0,1,2,4,5
25,"far-from-aligned","anchor",0,7,0,"25 and 50",18,"pie",1,"F",6,13,18,21,7,25,10,2,6,0,4,3,1,5
16,"near-aligned","far-anchor",9,1,1,"100",83,"pie",1,"A",16,19,14,6,1,32,12,5,0,2,1,6,4,3
17,"aligned","far-anchor",8,0,2,"50",50,"line",1,"B",21,17,12,21,13,14,2,5,4,6,1,0,2,3
52,"near-aligned","far-anchor",2,3,2,"25",28,"line",1,"C",8,6,52,11,3,9,11,0,1,4,5,3,6,2
20,"aligned","far-anchor",5,0,0,"0",0,"line",1,"C",4,6,20,7,22,19,22,2,6,0,4,5,3,1
22,"far-from-aligned","near-anchor",3,5,2,"75",58,"pie",1,"A",22,26,5,15,20,9,3,4,1,6,5,2,3,0
34,"far-from-aligned","far-anchor",9,6,1,"100",60,"line",1,"D",16,13,6,34,3,10,18,2,3,6,5,1,4,0
18,"aligned","far-anchor",7,0,2,"75",57,"pie",1,"F",17,24,8,16,11,18,6,5,1,6,2,3,4,0
17,"near-aligned","far-anchor",8,1,2,"50",49,"pie",1,"D",18,10,21,17,1,17,16,6,3,1,4,2,0,5
53,"near-aligned","far-anchor",3,3,2,"0",3,"line",1,"A",53,12,7,3,6,12,7,1,5,6,0,3,4,2
31,"far-from-aligned","far-anchor",6,6,1,"50",56,"pie",1,"D",13,6,7,31,4,14,25,6,1,2,5,4,3,0
15,"far-from-aligned","far-anchor",10,6,0,"50",44,"line",1,"C",20,7,15,12,22,12,12,0,4,3,5,6,2,1
25,"near-aligned","anchor",0,2,0,"50 and 75",48,"pie",1,"E",7,7,9,15,25,18,19,2,3,6,1,4,5,0
18,"far-from-aligned","far-anchor",7,7,2,"25",18,"pie",1,"C",18,12,18,18,3,20,11,0,3,1,6,4,5,2
23,"near-aligned","near-anchor",2,3,2,"50",47,"pie",1,"B",13,23,13,17,15,4,15,2,4,6,5,0,3,1
53,"far-from-aligned","far-anchor",3,10,2,"75",12,"line",1,"F",9,11,15,5,6,53,1,5,1,4,3,6,2,0
48,"aligned","near-anchor",2,0,2,"0",0,"line",1,"C",17,1,48,1,3,20,10,4,3,0,6,1,2,5
32,"far-from-aligned","far-anchor",7,7,2,"75",36,"pie",1,"A",32,16,9,8,7,12,16,3,6,4,1,5,0,2
25,"far-from-aligned","anchor",0,7,0,"0 and 25",7,"line",1,"D",13,13,17,25,14,11,7,4,5,3,1,2,6,0
41,"near-aligned","far-anchor",9,4,1,"100",55,"pie",1,"A",41,10,6,14,10,15,4,5,4,3,1,2,0,6
46,"near-aligned","near-anchor",4,1,1,"50",3,"line",1,"F",6,3,6,15,10,46,14,5,0,6,3,2,1,4
31,"aligned","far-anchor",6,0,1,"100",69,"line",1,"C",8,20,31,6,17,6,12,5,0,6,3,2,4,1
50,"far-from-aligned","anchor",0,11,0,"25 and 75",14,"line",1,"C",14,6,50,15,8,4,3,5,1,2,6,0,3,4
48,"aligned","near-anchor",2,0,2,"75",27,"line",1,"F",1,4,17,14,6,48,10,4,0,2,5,1,3,6
19,"aligned","far-anchor",6,0,1,"75",56,"line",1,"B",18,19,11,5,7,20,20,6,4,3,1,5,0,2
16,"aligned","far-anchor",9,0,1,"100",84,"line",1,"A",16,4,13,10,39,9,9,6,5,0,4,1,2,3
42,"far-from-aligned","far-anchor",8,7,2,"50",43,"line",1,"F",8,11,11,9,4,42,15,3,6,0,1,5,4,2
50,"aligned","anchor",0,0,0,"50 and 100",50,"line",1,"G",1,11,5,9,11,13,50,4,3,2,1,0,5,6
27,"near-aligned","near-anchor",2,4,2,"50",19,"line",1,"C",7,15,27,12,11,18,10,1,3,2,0,5,4,6
50,"near-aligned","anchor",0,3,0,"0 and 50",3,"line",1,"C",3,9,50,5,9,3,21,0,2,1,6,4,5,3
24,"far-from-aligned","near-anchor",1,9,1,"50",41,"line",1,"C",3,7,24,10,18,28,10,1,4,3,2,5,0,6
25,"near-aligned","anchor",0,3,0,"75 and 100",72,"line",1,"D",7,17,25,25,3,19,4,0,1,4,5,6,3,2
46,"far-from-aligned","near-anchor",4,9,1,"25",16,"line",1,"C",4,13,46,13,12,3,9,4,0,2,6,5,1,3
23,"far-from-aligned","near-anchor",2,10,2,"25",12,"line",1,"A",23,9,12,20,5,22,9,1,2,0,4,3,5,6
50,"far-from-aligned","anchor",0,9,0,"50 and 100",41,"pie",1,"D",4,9,5,50,9,12,11,4,6,3,5,2,0,1
40,"near-aligned","far-anchor",10,1,0,"100",59,"line",1,"C",26,4,40,8,1,17,4,4,2,5,0,6,3,1
