selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,A,B,C,D,E,F,G,A_ind,B_ind,C_ind,D_ind,E_ind,F_ind,G_ind,questionID
40,aligned,far-anchor,10,0,0,75,35,pie,1,G,23,5,5,2,9,16,40,5,1,2,6,3,0,4,1
22,aligned,near-anchor,3,0,2,0,0,line,1,F,14,7,14,13,19,22,11,6,5,3,4,1,0,2,2
22,aligned,near-anchor,3,0,2,0,0,pie,1,C,2,23,22,15,15,9,14,4,1,0,5,2,6,3,3
50,aligned,anchor,0,0,0,50 and 100,50,line,1,B,7,50,3,5,19,7,9,3,6,0,1,2,4,5,4
25,far-from-aligned,anchor,0,7,0,25 and 50,18,pie,1,F,6,13,18,21,7,25,10,2,6,0,4,3,1,5,5
16,near-aligned,far-anchor,9,1,1,100,83,pie,1,A,16,19,14,6,1,32,12,5,0,2,1,6,4,3,6
17,aligned,far-anchor,8,0,2,50,50,line,1,B,21,17,12,21,13,14,2,5,4,6,1,0,2,3,7
52,near-aligned,far-anchor,2,3,2,25,28,line,1,C,8,6,52,11,3,9,11,0,1,4,5,3,6,2,8
20,aligned,far-anchor,5,0,0,0,0,line,1,C,4,6,20,7,22,19,22,2,6,0,4,5,3,1,9
22,far-from-aligned,near-anchor,3,5,2,75,58,pie,1,A,22,26,5,15,20,9,3,4,1,6,5,2,3,0,10
34,far-from-aligned,far-anchor,9,6,1,100,60,line,1,D,16,13,6,34,3,10,18,2,3,6,5,1,4,0,11
18,aligned,far-anchor,7,0,2,75,57,pie,1,F,17,24,8,16,11,18,6,5,1,6,2,3,4,0,12
17,near-aligned,far-anchor,8,1,2,50,49,pie,1,D,18,10,21,17,1,17,16,6,3,1,4,2,0,5,13
53,near-aligned,far-anchor,3,3,2,0,3,line,1,A,53,12,7,3,6,12,7,1,5,6,0,3,4,2,14
31,far-from-aligned,far-anchor,6,6,1,50,56,pie,1,D,13,6,7,31,4,14,25,6,1,2,5,4,3,0,15
15,far-from-aligned,far-anchor,10,6,0,50,44,line,1,C,20,7,15,12,22,12,12,0,4,3,5,6,2,1,16
25,near-aligned,anchor,0,2,0,50 and 75,48,pie,1,E,7,7,9,15,25,18,19,2,3,6,1,4,5,0,17
18,far-from-aligned,far-anchor,7,7,2,25,18,pie,1,C,18,12,18,18,3,20,11,0,3,1,6,4,5,2,18
23,near-aligned,near-anchor,2,3,2,50,47,pie,1,B,13,23,13,17,15,4,15,2,4,6,5,0,3,1,19
53,far-from-aligned,far-anchor,3,10,2,75,12,line,1,F,9,11,15,5,6,53,1,5,1,4,3,6,2,0,20
48,aligned,near-anchor,2,0,2,0,0,line,1,C,17,1,48,1,3,20,10,4,3,0,6,1,2,5,21
32,far-from-aligned,far-anchor,7,7,2,75,36,pie,1,A,32,16,9,8,7,12,16,3,6,4,1,5,0,2,22
25,far-from-aligned,anchor,0,7,0,0 and 25,7,line,1,D,13,13,17,25,14,11,7,4,5,3,1,2,6,0,23
41,near-aligned,far-anchor,9,4,1,100,55,pie,1,A,41,10,6,14,10,15,4,5,4,3,1,2,0,6,24
46,near-aligned,near-anchor,4,1,1,50,3,line,1,F,6,3,6,15,10,46,14,5,0,6,3,2,1,4,25
31,aligned,far-anchor,6,0,1,100,69,line,1,C,8,20,31,6,17,6,12,5,0,6,3,2,4,1,26
50,far-from-aligned,anchor,0,11,0,25 and 75,14,line,1,C,14,6,50,15,8,4,3,5,1,2,6,0,3,4,27
48,aligned,near-anchor,2,0,2,75,27,line,1,F,1,4,17,14,6,48,10,4,0,2,5,1,3,6,28
19,aligned,far-anchor,6,0,1,75,56,line,1,B,18,19,11,5,7,20,20,6,4,3,1,5,0,2,29
16,aligned,far-anchor,9,0,1,100,84,line,1,A,16,4,13,10,39,9,9,6,5,0,4,1,2,3,30
42,far-from-aligned,far-anchor,8,7,2,50,43,line,1,F,8,11,11,9,4,42,15,3,6,0,1,5,4,2,31
50,aligned,anchor,0,0,0,50 and 100,50,line,1,G,1,11,5,9,11,13,50,4,3,2,1,0,5,6,32
27,near-aligned,near-anchor,2,4,2,50,19,line,1,C,7,15,27,12,11,18,10,1,3,2,0,5,4,6,33
50,near-aligned,anchor,0,3,0,0 and 50,3,line,1,C,3,9,50,5,9,3,21,0,2,1,6,4,5,3,34
24,far-from-aligned,near-anchor,1,9,1,50,41,line,1,C,3,7,24,10,18,28,10,1,4,3,2,5,0,6,35
25,near-aligned,anchor,0,3,0,75 and 100,72,line,1,D,7,17,25,25,3,19,4,0,1,4,5,6,3,2,36
46,far-from-aligned,near-anchor,4,9,1,25,16,line,1,C,4,13,46,13,12,3,9,4,0,2,6,5,1,3,37
23,far-from-aligned,near-anchor,2,10,2,25,12,line,1,A,23,9,12,20,5,22,9,1,2,0,4,3,5,6,38
50,far-from-aligned,anchor,0,9,0,50 and 100,41,pie,1,D,4,9,5,50,9,12,11,4,6,3,5,2,0,1,39
40,near-aligned,far-anchor,10,1,0,100,59,line,1,C,26,4,40,8,1,17,4,4,2,5,0,6,3,1,40
50,aligned,anchor,0,0,0,25 and 75,25,pie,1,D,7,9,7,50,10,8,9,6,4,1,3,2,0,5,41
20,far-from-aligned,far-anchor,5,7,0,25,12,pie,1,A,20,18,9,12,9,25,7,1,5,2,0,4,6,3,42
17,near-aligned,far-anchor,8,3,2,0,3,pie,1,A,17,26,18,3,5,14,17,1,2,4,0,6,3,5,43
16,near-aligned,far-anchor,9,2,1,25,7,line,1,B,10,16,19,7,24,17,7,3,1,5,4,2,6,0,44
19,near-aligned,far-anchor,6,2,1,100,79,line,1,B,19,19,26,8,14,12,2,2,5,0,1,3,4,6,45
42,near-aligned,far-anchor,8,3,2,0,3,pie,1,A,42,20,3,10,3,15,7,1,5,0,2,3,4,6,46
17,far-from-aligned,far-anchor,8,5,2,25,20,pie,1,C,19,17,17,20,7,9,11,5,3,1,0,4,6,2,47
39,far-from-aligned,far-anchor,11,6,1,75,42,pie,1,C,19,11,39,10,8,6,7,2,6,4,1,5,3,0,48
40,aligned,far-anchor,10,0,0,50,10,pie,1,E,18,7,10,3,40,15,7,5,6,0,2,1,4,3,49
48,aligned,near-anchor,2,0,2,100,52,pie,1,A,48,21,5,9,3,13,1,6,3,4,1,5,0,2,50
21,near-aligned,near-anchor,4,3,1,75,72,line,1,A,21,6,9,15,7,21,21,5,4,3,1,6,0,2,51
41,near-aligned,far-anchor,9,1,1,100,58,pie,1,D,1,10,7,41,20,19,2,6,4,3,5,2,0,1,52
21,aligned,near-anchor,4,0,1,75,75,pie,1,F,7,25,32,4,7,21,4,4,1,0,2,3,5,6,53
30,far-from-aligned,far-anchor,5,6,0,75,39,pie,1,D,24,11,5,30,4,12,14,0,2,6,3,1,5,4,54
22,far-from-aligned,near-anchor,3,11,2,25 and 25,14,line,1,B,5,22,17,16,12,14,14,6,1,5,3,2,4,0,55
47,far-from-aligned,near-anchor,3,9,2,50,12,pie,1,C,11,11,47,12,12,4,3,5,4,1,6,0,2,3,56
46,near-aligned,near-anchor,4,2,1,25,23,pie,1,B,18,46,9,6,2,8,11,5,3,2,0,6,1,4,57
24,aligned,near-anchor,1,0,1,0,0,line,1,B,6,24,14,9,8,16,23,4,0,6,5,1,2,3,58
47,far-from-aligned,near-anchor,3,6,2,50,44,line,1,B,9,47,13,5,7,13,6,6,5,4,1,2,3,0,59
37,far-from-aligned,far-anchor,12,6,2,50,7,pie,1,B,7,37,18,10,11,13,4,0,1,2,3,5,6,4,60
35,far-from-aligned,far-anchor,10,6,0,50,56,line,1,B,14,35,7,6,4,25,9,4,5,2,3,0,1,6,61
21,far-from-aligned,near-anchor,4,9,1,75,66,line,1,B,13,21,26,17,13,3,7,6,5,1,3,0,2,4,62
24,far-from-aligned,near-anchor,1,11,1,50,39,pie,1,C,9,19,24,14,8,10,16,0,4,3,2,5,6,1,63
19,near-aligned,far-anchor,6,3,1,75 and 100,78,pie,1,G,9,3,24,16,14,15,19,1,6,3,0,4,2,5,64
23,near-aligned,near-anchor,2,3,2,50,30,pie,1,F,5,2,15,28,11,23,16,6,1,5,0,3,2,4,65
25,near-aligned,anchor,0,4,0,25 and 50,21,pie,1,F,12,12,9,23,7,25,12,1,4,0,6,5,2,3,66
21,near-aligned,near-anchor,4,4,1,25,21,line,1,G,16,14,16,7,14,12,21,3,6,4,0,1,5,2,67
18,near-aligned,far-anchor,7,2,2,50,48,line,1,E,5,12,11,2,18,20,32,2,3,0,5,4,1,6,68
47,far-from-aligned,near-anchor,3,7,2,25,18,line,1,B,13,47,15,6,7,1,11,4,2,3,6,1,5,0,69
54,aligned,far-anchor,4,0,1,25,25,pie,1,G,6,9,12,8,5,6,54,5,4,1,0,2,6,3,70
46,near-aligned,near-anchor,4,4,1,50,46,pie,1,B,5,46,8,20,10,8,3,0,5,6,1,4,3,2,71
23,near-aligned,near-anchor,2,3,2,75,55,line,1,C,16,27,23,3,6,3,22,5,3,4,0,6,2,1,72
20,near-aligned,far-anchor,5,3,0,25,8,pie,1,A,20,4,17,14,20,8,17,1,5,4,6,3,0,2,73
36,aligned,far-anchor,11,0,1,100,64,line,1,G,5,8,6,23,9,13,36,4,5,2,0,1,3,6,74
52,far-from-aligned,far-anchor,2,5,2,25,30,line,1,D,1,15,18,52,4,7,3,3,6,0,4,2,1,5,75
24,far-from-aligned,near-anchor,1,10,1,75,61,pie,1,G,14,15,7,6,23,11,24,1,6,2,3,0,4,5,76
46,far-from-aligned,near-anchor,4,6,1,50,44,pie,1,E,7,11,9,10,46,10,7,3,4,2,0,5,6,1,77
27,far-from-aligned,near-anchor,2,7,2,0,7,pie,1,D,23,12,14,27,7,4,13,6,2,4,1,0,5,3,78
27,aligned,near-anchor,2,0,2,25,25,pie,1,E,11,10,6,16,27,15,15,6,0,3,5,2,1,4,79
35,far-from-aligned,far-anchor,10,7,0,100,58,pie,1,B,22,35,16,15,7,1,4,4,5,0,1,6,2,3,80
28,near-aligned,near-anchor,3,1,2,50,21,pie,1,B,15,28,7,17,12,6,15,5,2,3,6,4,0,1,81
46,aligned,near-anchor,4,0,1,0,0,line,1,F,18,6,3,18,6,46,3,3,2,5,1,6,0,4,82
25,aligned,anchor,0,0,0,25 and 50,25,pie,1,D,16,15,9,25,24,7,4,0,6,1,2,5,3,4,83
23,far-from-aligned,near-anchor,2,5,2,25,7,pie,1,F,20,19,22,4,7,23,5,2,4,3,6,0,1,5,84
27,near-aligned,near-anchor,2,3,2,0,3,pie,1,F,3,6,8,19,18,27,19,0,4,5,6,2,1,3,85
23,aligned,near-anchor,2,0,2,75,75,pie,1,B,2,23,4,8,16,39,8,6,5,1,4,2,3,0,86
37,near-aligned,far-anchor,12,3,2,75,35,line,1,A,37,14,8,13,6,5,17,3,5,4,0,6,2,1,87
16,near-aligned,far-anchor,9,2,1,0,2,line,1,A,16,18,19,8,13,2,24,1,4,2,3,5,0,6,88
45,aligned,far-anchor,5,0,0,50,5,pie,1,D,5,9,11,45,8,4,18,0,5,3,1,6,2,4,89
55,near-aligned,far-anchor,5,4,0,25,29,pie,1,C,4,4,55,12,17,5,3,0,6,4,5,3,2,1,90
18,far-from-aligned,far-anchor,7,6,2,25,13,line,1,F,17,9,23,10,13,18,10,2,4,3,5,0,1,6,91
18,far-from-aligned,far-anchor,7,8,2,75,65,line,1,A,18,12,17,17,17,7,12,5,1,0,2,6,3,4,92
48,near-aligned,near-anchor,2,3,2,25,22,line,1,F,4,12,2,6,18,48,10,0,1,4,2,5,3,6,93
