responseTime,prolificID,userID,questionNum,response,loadTime,questionID,selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,error,absError,correct,anchor,alignment
3.959,60ec03471451032a030cfec1,1,0.0,40,2025-04-22 17:50:39.179,1.0,40,aligned,far-anchor,10,0,0,75,35,pie,1,G,0.0,0.0,True,non-anchor,aligned
2.775,60ec03471451032a030cfec1,1,1.0,10,2025-04-22 17:50:43.210,2.0,22,aligned,near-anchor,3,0,2,0,0,line,1,F,-12.0,12.0,False,non-anchor,aligned
3.879,60ec03471451032a030cfec1,1,2.0,6,2025-04-22 17:50:46.040,3.0,22,aligned,near-anchor,3,0,2,0,0,pie,1,C,-16.0,16.0,False,non-anchor,aligned
4.33,60ec03471451032a030cfec1,1,3.0,35,2025-04-22 17:50:49.974,4.0,50,aligned,anchor,0,0,0,50 and 100,50,line,1,B,-15.0,15.0,False,anchor,aligned
3.125,60ec03471451032a030cfec1,1,4.0,25,2025-04-22 17:50:54.360,5.0,25,far-from-aligned,anchor,0,7,0,25 and 50,18,pie,1,F,0.0,0.0,True,anchor,unaligned
5.238,60ec03471451032a030cfec1,1,5.0,35,2025-04-22 17:50:57.539,6.0,16,near-aligned,far-anchor,9,1,1,100,83,pie,1,A,19.0,19.0,False,non-anchor,unaligned
5.298,60ec03471451032a030cfec1,1,6.0,40,2025-04-22 17:51:02.835,7.0,17,aligned,far-anchor,8,0,2,50,50,line,1,B,23.0,23.0,False,non-anchor,aligned
5.695,60ec03471451032a030cfec1,1,7.0,65,2025-04-22 17:51:08.190,8.0,52,near-aligned,far-anchor,2,3,2,25,28,line,1,C,13.0,13.0,False,non-anchor,unaligned
7.801,60ec03471451032a030cfec1,1,8.0,20,2025-04-22 17:51:13.940,9.0,20,aligned,far-anchor,5,0,0,0,0,line,1,C,0.0,0.0,True,non-anchor,aligned
3.823,60ec03471451032a030cfec1,1,9.0,30,2025-04-22 17:51:21.796,10.0,22,far-from-aligned,near-anchor,3,5,2,75,58,pie,1,A,8.0,8.0,False,non-anchor,unaligned
3.213,60ec03471451032a030cfec1,1,10.0,40,2025-04-22 17:51:25.673,11.0,34,far-from-aligned,far-anchor,9,6,1,100,60,line,1,D,6.0,6.0,False,non-anchor,unaligned
3.291,60ec03471451032a030cfec1,1,11.0,20,2025-04-22 17:51:28.941,12.0,18,aligned,far-anchor,7,0,2,75,57,pie,1,F,2.0,2.0,False,non-anchor,aligned
2.558,60ec03471451032a030cfec1,1,12.0,10,2025-04-22 17:51:36.518,13.0,17,near-aligned,far-anchor,8,1,2,50,49,pie,1,D,-7.0,7.0,False,non-anchor,unaligned
2.682,60ec03471451032a030cfec1,1,13.0,50,2025-04-22 17:51:39.132,14.0,53,near-aligned,far-anchor,3,3,2,0,3,line,1,A,-3.0,3.0,False,non-anchor,unaligned
3.253,60ec03471451032a030cfec1,1,14.0,40,2025-04-22 17:51:41.869,15.0,31,far-from-aligned,far-anchor,6,6,1,50,56,pie,1,D,9.0,9.0,False,non-anchor,unaligned
7.529,60ec03471451032a030cfec1,1,15.0,45,2025-04-22 17:51:45.177,16.0,15,far-from-aligned,far-anchor,10,6,0,50,44,line,1,C,30.0,30.0,False,non-anchor,unaligned
5.035,60ec03471451032a030cfec1,1,16.0,48,2025-04-22 17:51:52.761,17.0,25,near-aligned,anchor,0,2,0,50 and 75,48,pie,1,E,23.0,23.0,False,anchor,unaligned
