responseTime,prolificID,userID,questionNum,response,loadTime,questionID,selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,A,B,C,D,E,F,G,A_ind,B_ind,C_ind,D_ind,E_ind,F_ind,G_ind,error,absError,correct
11.048,67bdb56696615a171c91c62c,1.0,1,55,2025-04-21 19:28:36.484,1.0,40,aligned,far-anchor,10,0,0,75,35,pie,1,A,40,23,5,5,2,9,16,4,5,1,2,6,3,0,15.0,15.0,False
7.346,67bdb56696615a171c91c62c,1.0,2,15,2025-04-21 19:28:47.809,2.0,46,far-from-aligned,near-anchor,4,9,1,25,16,line,1,D,4,13,13,46,12,3,9,4,0,6,2,5,1,3,-31.0,31.0,False
6.502,67bdb56696615a171c91c62c,1.0,3,80,2025-04-21 19:28:55.420,3.0,21,near-aligned,near-anchor,4,3,1,75,72,line,1,D,6,9,15,21,7,21,21,4,3,1,5,6,0,2,59.0,59.0,False
5.066,67bdb56696615a171c91c62c,1.0,4,22,2025-04-21 19:29:02.263,4.0,19,near-aligned,far-anchor,6,2,1,100,79,line,1,E,19,26,8,14,19,12,2,2,0,1,3,5,4,6,3.0,3.0,False
4.608,67bdb56696615a171c91c62c,1.0,5,18,2025-04-21 19:29:07.603,5.0,35,far-from-aligned,far-anchor,10,6,0,50,56,line,1,E,14,7,6,4,35,25,9,4,2,3,0,5,1,6,-17.0,17.0,False
11.841,67bdb56696615a171c91c62c,1.0,6,22,2025-04-21 19:29:12.481,6.0,18,far-from-aligned,far-anchor,7,8,2,75,65,line,1,G,12,17,17,17,7,12,18,1,0,2,6,3,4,5,4.0,4.0,False
11.657,67bdb56696615a171c91c62c,1.0,7,16,2025-04-21 19:29:24.588,7.0,22,far-from-aligned,near-anchor,3,5,2,75,58,pie,1,C,26,5,22,15,20,9,3,1,6,4,5,2,3,0,-6.0,6.0,False
4.77,67bdb56696615a171c91c62c,1.0,8,33,2025-04-21 19:29:36.498,8.0,50,near-aligned,anchor,0,3,0,0 and 50,3,line,1,A,50,3,9,5,9,3,21,1,0,2,6,4,5,3,-17.0,17.0,False
3.408,67bdb56696615a171c91c62c,1.0,9,25,2025-04-21 19:29:41.539,9.0,18,aligned,far-anchor,7,0,2,75,57,pie,1,G,17,24,8,16,11,6,18,5,1,6,2,3,0,4,7.0,7.0,False
6.354,67bdb56696615a171c91c62c,1.0,10,24,2025-04-21 19:29:45.234,10.0,46,far-from-aligned,near-anchor,4,6,1,50,44,pie,1,B,7,46,11,9,10,10,7,3,5,4,2,0,6,1,-22.0,22.0,False
4.936,67bdb56696615a171c91c62c,1.0,11,12,2025-04-21 19:29:51.865,11.0,32,far-from-aligned,far-anchor,7,7,2,75,36,pie,1,B,16,32,9,8,7,12,16,6,3,4,1,5,0,2,-20.0,20.0,False
9.232,67bdb56696615a171c91c62c,1.0,12,25,2025-04-21 19:29:57.090,12.0,16,aligned,far-anchor,9,0,1,100,84,line,1,C,4,13,16,10,39,9,9,5,0,6,4,1,2,3,9.0,9.0,False
6.464,67bdb56696615a171c91c62c,1.0,13,12,2025-04-21 19:30:16.515,13.0,16,near-aligned,far-anchor,9,2,1,25,7,line,1,C,10,19,16,7,24,17,7,3,5,1,4,2,6,0,-4.0,4.0,False
7.874,67bdb56696615a171c91c62c,1.0,14,20,2025-04-21 19:30:23.250,14.0,22,aligned,near-anchor,3,0,2,0,0,line,1,G,14,7,14,13,19,11,22,6,5,3,4,1,2,0,-2.0,2.0,False
5.993,67bdb56696615a171c91c62c,1.0,15,12,2025-04-21 19:30:31.386,15.0,15,far-from-aligned,far-anchor,10,6,0,50,44,line,1,F,20,7,12,22,12,15,12,0,4,5,6,2,3,1,-3.0,3.0,False
4.725,67bdb56696615a171c91c62c,1.0,16,33,2025-04-21 19:30:37.649,16.0,27,near-aligned,near-anchor,2,3,2,0,3,pie,1,B,3,27,6,8,19,18,19,0,1,4,5,6,2,3,6.0,6.0,False
13.098,67bdb56696615a171c91c62c,1.0,17,17,2025-04-21 19:30:42.671,17.0,25,aligned,anchor,0,0,0,25 and 50,25,pie,1,F,16,15,9,24,7,25,4,0,6,1,5,3,2,4,-8.0,8.0,False
